Season,Name,Team,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
2009-2010,Ben Smith,Jacksonville,Sr.,5-10,G,33,187,81,197,652,19.8,458,40.8,2.5,,,253,77.9,,,120,3.6,,,66,2.0,66,1.82,,,,,,
2009-2010,Ben Stywall,UNC Greensboro,Sr.,6-5,F,31,161,,,,,331,48.6,,,,,,323,10.4,,,,,48,1.5,,,,15,,,,
2009-2010,Ben Uzoh,Tulsa,Sr.,6-3,G,35,184,49,117,534,15.3,403,45.7,,,,153,76.5,,,163,4.7,,,,,80,2.04,,,,,,
2009-2010,Benzor Simmons,UT Martin,Jr.,6-5,G,29,,,109,,,,,,,,135,80.7,,,,,,,,,,,,,,,,
2009-2010,Biko Paris,Boston College,Jr.,6-1,G,31,,,,,,,,,,,,,,,126,4.1,,,,,76,1.66,,,,,,
2009-2010,Bilal Benn,Niagara,Sr.,6-5,F,30,,,,,,,,,,,,,298,9.9,,,,,56,1.9,,,,,,,,
2009-2010,Billy Pettiford,IU Indy,Sr.,6-7,F,35,,,,,,,,,,,,,,,134,3.8,39,1.1,77,2.2,95,1.41,,,,,,
2009-2010,Blake Hoffarber,Minnesota,Jr.,6-4,G,35,,85,,,,,,2.4,,,,,,,,,,,,,,,,,,,,
2009-2010,Blake Smith,Radford,Fr.,6-4,G,31,,,,,,,,,,,,,,,98,,,,56,1.8,62,1.58,,,,,,
2009-2010,Bo Amusa,Alabama A&M,Jr.,6-6,F,27,,,,,,,,,,,,,,,,,50,1.9,,,,,,,,,,
2009-2010,Bo Spencer,LSU,Jr.,6-1,G,30,138,61,99,436,14.5,,,2.0,,,118,83.9,,,,,,,,,,,,,,,,
2009-2010,Bobby Howard,Montana St.,Jr.,6-6,F,29,162,,,,,313,51.8,,,,,,,,,,,,,,,,,,,,,
2009-2010,Bobby Maze,Tennessee,Sr.,6-3,G,37,,,,,,,,,,,,,,,118,,,,,,52,2.27,,,,,,
2009-2010,Brad Haugabrook,North Florida,Jr.,6-0,G,31,,,,,,,,,,,,,,,132,4.3,,,,,75,1.76,,,,,,
2009-2010,Brad Wanamaker,Pittsburgh,Jr.,6-4,G,34,,,,,,,,,,,,,,,160,4.7,,,,,92,1.74,,,,,,
2009-2010,Brandis Raley-Ross,South Carolina,Sr.,6-2,G,31,,62,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2009-2010,Brandon Bowdry,Eastern Mich.,Jr.,6-6,F,32,196,11,117,520,16.3,402,48.8,,,,,,319,10.0,,,,,,,,,,16,,,,
2009-2010,Brandon Fields,Nevada,Sr.,6-4,G,34,174,,,,,404,43.1,,,,,,,,,,,,,,,,,,,,,
2009-2010,Brandon Fortenberry,Southeastern La.,So.,6-1,G,24,,,,,,,,,,,,,,,78,,,,,,40,1.95,,,,,,
2009-2010,Brandon Hazzard,Troy,Sr.,6-2,G,33,186,83,97,552,16.7,450,41.3,2.5,217,38.2,,,,,,,,,,,,,,,,,,
2009-2010,Brandon Johnson,San Diego,Sr.,6-0,G,29,,56,109,,,,,1.9,,,140,77.9,,,98,3.4,,,54,1.9,,,,,,,,
2009-2010,Brandon Long,UT Arlington,Sr.,6-1,G,30,,,89,,,,,,,,115,77.4,,,,,,,,,,,,,,,,
2009-2010,Brandon McPherson,Valparaiso,Sr.,6-1,G,32,,,,,,,,,,,,,,,101,,,,,,61,1.66,,,,,,
2009-2010,Brandon Moore,Eastern Wash.,Sr.,6-9,C,29,,,,,,,,,,,,,217,7.5,,,,,,,,,,,,,,
2009-2010,Brandon Peterson,Arkansas St.,Fr.,6-8,F,31,,,,,,,,,,,,,,,,,61,2.0,,,,,,,,,,
2009-2010,Brandon Reed,Arkansas St.,Fr.,6-4,G,31,168,58,75,469,15.1,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,Brandon Richardson,Nebraska,So.,6-0,G,31,,,85,,,,,,,,103,82.5,,,,,,,,,,,,,,,,
2009-2010,Brandon Shingles,Morehead St.,Sr.,6-3,G,32,,,,,,,,,,,,,,,152,4.8,,,47,1.5,74,2.05,,,,,,
2009-2010,Brandyn Curry,Harvard,Fr.,6-1,G,29,,,,,,,,,,,,,,,93,,,,,,59,1.58,,,,,,
2009-2010,Brendan McKillop,Davidson,Jr.,6-1,G,31,,80,,,,,,2.6,211,37.9,,,,,124,4.0,,,,,46,2.70,,,,,,
2009-2010,Brendon Knox,Auburn,Sr.,6-10,C,32,,,,,,,,,,,,,,,,,33,1.0,,,,,,,,,,
2009-2010,Brenton Butler,Fordham,Sr.,6-3,G,28,143,58,117,461,16.5,,,2.1,,,144,81.3,,,,,,,,,,,,,,,,
2009-2010,Brett Harvey,Loyola Maryland,Sr.,6-0,G,25,,,89,,,,,,,,100,89.0,,,,,,,,,,,,,,,,
2009-2010,Brett Royster,Fla. Atlantic,Jr.,6-8,F,30,,,,,,,,,,,,,223,7.4,,,90,3.0,,,,,,,,,,
2009-2010,Brian Mills,Mercer,Jr.,6-7,F,33,,,,,,,,,,,,,,,,,40,1.2,,,,,,,,,,
2009-2010,Brian Morris,Towson,Jr.,6-6,G,27,,,,,,,,,,,,,,,90,,,,,,42,2.14,,,,,,
2009-2010,Brian Qvale,Montana,Jr.,6-11,C,30,,,,,,,,,,,,,214,7.1,,,61,2.0,,,,,,,,,,
2009-2010,Brian Rudolph,Loyola Maryland,Jr.,5-11,G,29,,,,,,,,,,,,,,,107,3.7,,,,,69,1.55,,,,,,
2009-2010,Brian Stafford,Denver,So.,6-4,G,32,,68,,,,,,2.1,,,,,,,,,,,,,,,,,,,,
2009-2010,Brian Zoubek,Duke,Sr.,7-1,C,40,,,,,,,,,,,,,309,7.7,,,,,,,,,,,,,,
2009-2010,Brigham Waginger,Western Caro.,Sr.,6-2,G,34,,,,,,,,,,,,,,,151,4.4,,,90,2.6,65,2.32,,,,,,
2009-2010,Brock Young,East Carolina,Jr.,5-11,G,31,146,32,158,482,15.5,,,,,,193,81.9,,,171,5.5,,,48,1.5,,,,,,,,
2009-2010,Broderick Gilchrest,Idaho St.,Jr.,6-0,G,27,144,40,90,418,15.5,304,47.4,,,,,,,,,,,,53,2.0,,,,,,,,
2009-2010,Bryan Davis,Texas A&M,Sr.,6-9,F,34,,,,,,,,,,,,,277,8.1,,,58,1.7,,,,,,,,,,
2009-2010,Bryan Dougher,Stony Brook,So.,6-1,G,32,,95,,,,,,3.0,224,42.4,,,,,,,,,,,,,,,,,,
2009-2010,Bryan Sherrer,South Alabama,Sr.,6-0,G,28,,,91,,,,,,,,101,90.1,,,,,,,,,,,,,,,,
2009-2010,Bryquis Perine,Green Bay,Jr.,6-3,G,33,,,106,,,,,,,,138,76.8,,,138,4.2,,,,,76,1.82,,,,,,
2009-2010,Bryson Barnes,Furman,So.,6-5,F,29,,,,,,,,,,,,,,,,,33,1.1,,,,,,,,,,
2009-2010,Bryson Johnson,Bucknell,Fr.,6-2,G,31,,67,,,,,,2.2,,,,,,,,,,,,,,,,,,,,
2009-2010,Byron Walker,Alabama St.,Sr.,6-8,F,29,,,,,,,,,,,,,,,,,29,1.0,,,,,,,,,,
2009-2010,C. J. Collins,McNeese,Jr.,5-10,G,27,,,,,,,,,,,,,,,89,,,,,,52,1.71,,,,,,
2009-2010,C.J. Hailey,Gardner-Webb,Sr.,6-2,G,29,,,73,,,,,,,,90,81.1,,,,,,,,,,,,,,,,
2009-2010,C.J. Harris,Wake Forest,Fr.,6-3,G,31,,,108,,,,,,,,130,83.1,,,,,,,,,,,,,,,,
2009-2010,C.J. McCollum,Lehigh,Fr.,6-3,G,33,203,72,153,631,19.1,442,45.9,2.2,,,189,81.0,,,,,,,,,,,,,,,,
2009-2010,C.J. Wilkerson,N.C. Central,Jr.,6-3,G,29,142,42,146,472,16.3,,,,,,190,76.8,,,,,,,,,,,,,,,,
2009-2010,Cade Davis,Oklahoma,Jr.,6-5,G,31,,,,,,,,,,,,,,,,,,,46,1.5,,,,,,,,
2009-2010,Caleb Brown,Austin Peay,Jr.,6-0,G,32,,,,,,,,,,,,,,,113,3.5,,,,,50,2.26,,,,,,
2009-2010,Calvin Betts,Buffalo,Sr.,6-4,G,30,,,78,,,,,,,,102,76.5,232,7.7,,,,,56,1.9,,,,,,,,
2009-2010,Calvin Lee,Towson,Sr.,6-8,F,31,,,,,,,,,,,,,,,,,35,1.1,,,,,,,,,,
2009-2010,Cameron Johnson,Texas St.,Jr.,6-7,F,30,151,0,135,437,14.6,334,45.2,,,,,,237,7.9,,,,,48,1.6,,,,,,,,
2009-2010,Cameron Jones,Northern Ariz.,Jr.,6-3,G,28,203,33,102,541,19.3,404,50.2,,,,,,,,,,,,,,,,,,,,,
2009-2010,Cameron Wells,The Citadel,Jr.,6-1,G,32,196,17,142,551,17.2,480,40.8,,,,164,86.6,,,132,4.1,,,47,1.5,69,1.91,,,,,,
2009-2010,Candon Rusin,Marist,Fr.,6-4,G,30,,58,,,,,,1.9,,,,,,,,,,,,,,,,,,,,
2009-2010,Carl Blair,New Orleans,Fr.,6-1,G,30,,,95,,,,,,,,116,81.9,,,112,3.7,,,,,,,1,,,,,
2009-2010,Carl Montgomery,Chicago St.,Jr.,6-7,F,32,171,,,,,362,47.2,,,,,,269,8.4,,,36,1.1,,,,,,,,,,
2009-2010,Carleton Scott,Notre Dame,Jr.,6-8,F,34,,,,,,,,,,,,,,,,,37,1.1,,,,,,,,,,
2009-2010,Carlos Medlock,Eastern Mich.,Sr.,6-0,G,32,147,75,173,542,16.9,,,2.3,,,215,80.5,,,121,3.8,,,50,1.6,,,,,,,,
2009-2010,Carlos Strong,Boston U.,Sr.,6-3,G,35,,,,,,,,,,,,,,,,,,,58,1.7,,,,,,,,
2009-2010,Casaan Breeden,Col. of Charleston,Sr.,6-8,F,32,,,,,,,,,,,,,,,,,41,1.3,,,,,,,,,,
2009-2010,Casey Cantey,Alabama A&M,So.,6-5,F,27,,,,,,,,,,,,,,,,,,,50,1.9,,,,,,,,
2009-2010,Cason Burk,Jackson St.,Jr.,6-5,G,32,,,,,,,,,,,,,207,6.5,,,,,,,,,,,,,,
2009-2010,Casper Ware,Long Beach St.,So.,5-9,G,33,,,109,,,,,,,,139,78.4,,,159,4.8,,,69,2.1,102,1.56,,,,,,
2009-2010,Ceola Clark,Western Ill.,So.,6-3,G,27,,52,,,,,,1.9,,,,,,,87,,,,72,2.7,44,1.98,,,,,,
2009-2010,Cervante Burrell,Seattle U,So.,5-10,G,31,,,,,,,,,,,,,,,108,3.5,,,,,,,,,,,,
2009-2010,Chace Stanback,UNLV,So.,6-8,F,34,,,,,,,,,,,,,,,,,,,54,1.6,,,,,,,,
2009-2010,Chad Gray,Coastal Carolina,Jr.,6-7,F,34,191,,,,,371,51.5,,,,,,,,,,,,,,,,,,,,,
2009-2010,Chad Tomko,UNCW,Jr.,5-11,G,29,,,74,,,,,,,,88,84.1,,,125,4.3,,,46,1.6,,,,,,,,
2009-2010,Chad Wynn,East Carolina,Jr.,6-10,C,27,,,,,,,,,,,,,,,,,28,1.0,,,,,,,,,,
2009-2010,Chaisson Allen,Northeastern,Jr.,6-4,G,33,,69,,,,,,2.1,,,,,,,118,3.6,,,51,1.5,75,1.57,,,,,,
2009-2010,Chandler Parsons,Florida,Jr.,6-10,F,34,,,,,,,,,,,,,233,6.9,,,,,,,,,,,,,,
2009-2010,Charles Carmouche,New Orleans,So.,6-2,G,29,,,,,,,,,,,,,,,,,,,42,1.4,,,,,,,,
2009-2010,Charles Funches,Hampton,Jr.,6-8,F,32,,,,,,,,,,,,,219,6.8,,,51,1.6,,,,,,,,,,
2009-2010,Charles Garcia,Seattle U,Jr.,6-10,F,31,190,13,187,580,18.7,401,47.4,,,,,,256,8.3,,,,,,,,,,,,,,
2009-2010,Charles Jenkins,Hofstra,Jr.,6-3,G,34,235,63,169,702,20.6,531,44.3,,,,210,80.5,,,134,3.9,,,61,1.8,,,,,,,,
2009-2010,Chas McFarland,Wake Forest,Sr.,7-0,C,31,,,,,,,,,,,,,216,7.0,,,36,1.2,,,,,,,,,,
2009-2010,Chase Holmes,Presbyterian,So.,6-4,G,31,159,,,,,349,45.6,,,,,,,,,,,,,,,,,,,,,
2009-2010,Chase Simon,Detroit Mercy,So.,6-5,G,34,170,,,,,423,40.2,,,,,,,,,,,,,,,,,,,,,
2009-2010,Chauncey Gilliam,UMBC,So.,6-4,G,29,,,91,,,,,,,,112,81.3,,,,,,,44,1.5,,,,,,,,
2009-2010,Chauncey Hardy,Sacred Heart,Sr.,6-0,G,24,,47,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2009-2010,Chris Bass,LSU,So.,6-0,G,31,,,,,,,,,,,,,,,99,,,,,,39,2.54,,,,,,
2009-2010,Chris Birrell,Bryant,Sr.,6-2,G,30,,,,,,,,,,,,,,,,,,,48,1.6,,,,,,,,
2009-2010,Chris Braswell,Charlotte,Fr.,6-9,F,31,,,98,,,,,,,,129,76.0,266,8.6,,,,,,,,,,,,,,
2009-2010,Chris De La Rosa,UMBC,So.,5-10,G,30,,,90,,,,,,,,116,77.6,,,153,5.1,,,,,70,2.19,,,,,,
2009-2010,Chris Flores,NJIT,Fr.,6-2,G,31,,,,,,,,,,,,,,,,,,,55,1.8,,,,,,,,
2009-2010,Chris Fouch,Drexel,Fr.,6-0,G,30,,64,,,,,,2.1,,,,,,,,,,,,,,,,,,,,
2009-2010,Chris Gaston,Fordham,Fr.,6-7,F,28,190,2,122,504,18.0,423,44.9,,,,,,319,11.4,,,50,1.8,,,,,,19,,,,
2009-2010,Chris Gradnigo,Louisiana,Jr.,6-7,G,27,135,,,,,316,42.7,,,,,,,,,,,,,,,,,,,,,
2009-2010,Chris Harris,Navy,Sr.,6-2,G,30,183,88,178,632,21.1,,,2.9,257,34.2,204,87.3,,,,,,,60,2.0,,,,,,,,
2009-2010,Chris Howard,South Fla.,Sr.,6-3,G,33,,,,,,,,,,,,,,,125,3.8,,,,,56,2.23,,,,,,
2009-2010,Chris Iles,Nicholls,So.,5-11,G,30,,,,,,,,,,,,,,,109,3.6,,,,,59,1.85,,,,,,
2009-2010,Chris Johnson,Dayton,So.,6-5,G,36,,,,,,,,,,,,,250,6.9,,,,,,,,,,,,,,
2009-2010,Chris Jones,Prairie View,Sr.,6-0,G,24,,,,,,,,,,,,,,,125,5.2,,,65,2.7,66,1.89,,,,,,
2009-2010,Chris Kramer,Purdue,Sr.,6-3,G,35,,,,,,,,,,,,,,,,,,,60,1.7,,,,,,,,
2009-2010,Chris Long,Elon,Jr.,6-2,G,32,,,97,,,,,,,,118,82.2,,,134,4.2,,,,,52,2.58,,,,,,
2009-2010,Chris Martin,Wagner,So.,5-11,G,29,,63,,,,,,2.2,,,,,,,,,,,,,,,,,,,,
2009-2010,Chris Matthews,St. Bonaventure,Sr.,6-4,G,31,,101,,,,,,3.3,258,39.1,,,,,,,,,,,,,,,,,,
2009-2010,Chris Oakes,San Jose St.,Sr.,6-10,F,28,,,,,,,,,,,,,253,9.0,,,44,1.6,,,,,,,,,,
2009-2010,Chris Roberts,Bradley,Sr.,6-4,G,31,,,,,,,,,,,,,,,,,,,47,1.5,,,,,,,,
2009-2010,Chris Singletary,Kent St.,Sr.,6-3,G,30,,,,,,,,,,,,,,,128,4.3,,,53,1.8,68,1.88,,,,,,
2009-2010,Chris Singleton,Florida St.,So.,6-9,F,32,,,,,,,,,,,,,223,7.0,,,48,1.5,71,2.2,,,,,,,,
2009-2010,Chris Warren,Ole Miss,Jr.,5-10,G,35,192,111,107,602,17.2,451,42.6,3.2,275,40.4,131,81.7,,,124,3.5,,,,,79,1.57,,,,,,
2009-2010,Chris Wright,Dayton,Jr.,6-8,F,37,187,,,,,373,50.1,,,,,,269,7.3,,,53,1.4,,,,,,,,,,
2009-2010,Chris Wright,Georgetown,Jr.,6-1,G,34,183,43,108,517,15.2,389,47.0,,,,139,77.7,,,138,4.1,,,51,1.5,77,1.79,,,,,,
2009-2010,Chris Wroblewski,Cornell,So.,6-0,G,34,,,,,,,,,,,,,,,106,,,,,,63,1.68,,,,,,
2009-2010,Christian Watford,Indiana,Fr.,6-9,F,31,,,116,,,,,,,,145,80.0,,,,,,,,,,,,,,,,
2009-2010,Christopher Duncan,Alabama St.,Jr.,6-8,F,29,,,,,,,,,,,,,,,,,50,1.7,,,,,,,,,,
2009-2010,Clarence Jackson,Siena,Jr.,6-3,G,33,,71,,,,,,2.2,,,,,,,,,,,58,1.8,,,,,,,,
2009-2010,Cleveland Richard,Army West Point,Sr.,6-3,G,29,,,,,,,,,,,,,,,,,,,50,1.7,,,,,,,,
2009-2010,Clevin Hannah,Wichita St.,Sr.,5-11,G,32,,62,85,,,,,1.9,,,94,90.4,,,149,4.7,,,,,66,2.26,,,,,,
2009-2010,Clint Sargent,South Dakota St.,Jr.,6-4,G,30,,68,89,,,,,2.3,,,106,84.0,,,,,,,,,,,,,,,,
2009-2010,Colby Batiste,Louisiana,Jr.,6-9,F,30,,,,,,,,,,,,,,,,,31,1.0,,,,,,,,,,
2009-2010,Colby Wohlleb,Ga. Southern,So.,6-6,G,27,,60,,,,,,2.2,,,,,,,,,,,,,,,,,,,,
2009-2010,Cole Aldrich,Kansas,Jr.,6-11,C,36,,,,,,,,,,,,,354,9.8,,,125,3.5,,,,,,15,,,,
2009-2010,Colin Reddick,Furman,Fr.,6-9,F,29,,,,,,,,,,,,,,,,,38,1.3,,,,,,,,,,
2009-2010,Colt Ryan,Evansville,Fr.,6-5,G,30,,60,101,,,,,2.0,,,122,82.8,,,,,,,,,,,,,,,,
2009-2010,Corey Allmond,Sam Houston,Sr.,6-1,G,33,183,96,58,520,15.8,419,43.7,2.9,257,37.4,,,,,,,,,,,,,,,,,,
2009-2010,Corey Fisher,Villanova,Jr.,6-1,G,33,,,134,,,,,,,,174,77.0,,,129,3.9,,,,,68,1.90,,,,,,
2009-2010,Corey Hassan,Sacred Heart,Sr.,6-5,F,28,187,90,73,537,19.2,435,43.0,3.2,234,38.5,,,212,7.6,,,,,,,,,,,,,,
2009-2010,Corey Law,High Point,Fr.,6-6,F,30,,,,,,,,,,,,,198,6.6,,,,,,,,,,,,,,
2009-2010,Corey Lowe,Boston U.,Sr.,6-2,G,32,159,75,88,481,15.0,,,2.3,,,,,,,136,4.3,,,,,,,,,,,,
2009-2010,Cory Higgins,Colorado,Jr.,6-5,G,31,193,32,169,587,18.9,382,50.5,,,,203,83.3,,,,,,,60,1.9,,,,,,,,
2009-2010,Cory Johnson,Valparaiso,Jr.,6-7,F,32,180,21,118,499,15.6,324,55.6,,,,,,,,,,,,,,,,,,,,,
2009-2010,Courtney Stanley,Loyola Chicago,So.,6-1,G,30,,,,,,,,,,,,,,,140,4.7,,,,,,,,,,,,
2009-2010,Coy Custer,Lamar University,Jr.,6-10,C,32,,,,,,,,,,,,,,,,,47,1.5,,,,,,,,,,
2009-2010,Craig Brackins,Iowa St.,Jr.,6-10,F,32,192,27,117,528,16.5,457,42.0,,,,154,76.0,273,8.5,,,38,1.2,,,,,,,,,,
2009-2010,Cruz Daniels,High Point,Sr.,6-11,C,30,,,,,,,,,,,,,,,,,75,2.5,,,,,,,,,,
2009-2010,Curtis Kelly,Kansas St.,Jr.,6-9,F,37,,,,,,,,,,,,,,,,,74,2.0,,,,,,,,,,
2009-2010,D,UNC Asheville,Fr.,6-10,C,28,,,,,,,,,,,,,188,6.7,,,50,1.8,,,,,,,,,,
2009-2010,D'Aundray Brown,Cleveland St.,Jr.,6-4,G,32,,,,,,,,,,,,,,,,,,,81,2.5,,,,,,,,
2009-2010,D'walyn Roberts,Texas Tech,Jr.,6-7,F,34,,,,,,,,,,,,,,,,,44,1.3,,,,,,,,,,
2009-2010,D.J. Cooper,Ohio,Fr.,5-11,G,37,,,121,,,,,,,,158,76.6,,,218,5.9,,,93,2.5,99,2.20,,,,,,
2009-2010,D.J. Gay,San Diego St.,Jr.,6-0,G,34,,,,,,,,,,,,,,,108,,,,,,60,1.80,,,,,,
2009-2010,D.J. Kennedy,St. John's (NY),Jr.,6-5,G,33,158,51,130,497,15.1,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,D.J. Richardson,Illinois,Fr.,6-3,G,36,,69,,,,,,1.9,,,,,,,,,,,,,,,,,,,,
2009-2010,Da'Sean Butler,West Virginia,Sr.,6-7,F,38,208,70,168,654,17.2,503,41.4,,,,213,78.9,,,119,,,,,,68,1.75,,,,,,
2009-2010,Dairese Gary,New Mexico,Jr.,6-1,G,35,,,,,,,,,,,,,,,137,3.9,,,,,63,2.17,,,,,,
2009-2010,Dallas Lauderdale,Ohio St.,Jr.,6-8,F,36,,,,,,,,,,,,,,,,,77,2.1,,,,,,,,,,
2009-2010,Daman Starring,Centenary (LA),Fr.,6-4,G,29,,,,,,,,,,,,,,,,,,,46,1.6,,,,,,,,
2009-2010,Damian Hollis,George Washington,Sr.,6-8,F,31,,,99,,,,,,,,118,83.9,,,,,,,,,,,,,,,,
2009-2010,Damian Johnson,Minnesota,Sr.,6-7,F,34,,,,,,,,,,,,,,,,,65,1.9,62,1.8,,,,,,,,
2009-2010,Damian Lewis,Houston Christian,Jr.,6-11,C,32,,,,,,,,,,,,,,,,,45,1.4,,,,,,,,,,
2009-2010,Damian Lillard,Weber St.,So.,6-2,G,31,185,84,163,617,19.9,429,43.1,2.7,214,39.3,191,85.3,,,112,3.6,,,,,74,1.51,,,,,,
2009-2010,Damian Saunders,Duquesne,Jr.,6-7,F,32,193,18,75,479,15.0,390,49.5,,,,,,360,11.3,,,94,2.9,89,2.8,,,,20,,,,
2009-2010,Damier Pitts,Marshall,So.,5-10,G,31,,,89,,,,,,,,107,83.2,,,147,4.7,,,,,76,1.93,,,,,,
2009-2010,Damion James,Texas,Sr.,6-7,F,34,210,36,155,611,18.0,419,50.1,,,,,,350,10.3,,,40,1.2,57,1.7,,,,17,,,,
2009-2010,Damon Jones,Northwestern St.,Sr.,6-4,G,29,146,,,,,339,43.1,,,,,,,,,,,,,,,,,,,,,
2009-2010,Dana Smith,Longwood,Sr.,6-5,F,31,195,33,142,565,18.2,408,47.8,,,,,,224,7.2,,,,,,,,,,,,,,
2009-2010,Dane DiLiegro,New Hampshire,Jr.,6-9,C,30,,,,,,,,,,,,,244,8.1,,,,,,,,,,,,,,
2009-2010,Dane Miller,Rutgers,Fr.,6-6,F,32,,,,,,,,,,,,,,,,,34,1.1,,,,,,,,,,
2009-2010,Danero Thomas,Murray St.,Sr.,6-4,G,36,,,,,,,,,,,,,,,,,,,60,1.7,,,,,,,,
2009-2010,Daniel Emerson,Mercer,Sr.,6-8,F,32,162,14,155,493,15.4,298,54.4,,,,,,385,12.0,,,,,,,,,,21,,,,
2009-2010,Daniel Orton,Kentucky,Fr.,6-11,F,38,,,,,,,,,,,,,,,,,53,1.4,,,,,,,,,,
2009-2010,Danny Nieman,Coastal Carolina,Fr.,6-1,G,33,,,,,,,,,,,,,,,102,,,,,,40,2.55,,,,,,
2009-2010,Darington Hobson,New Mexico,Jr.,6-7,F,35,193,39,130,555,15.9,439,44.0,,,,,,324,9.3,160,4.6,,,,,104,1.54,,,,,,
2009-2010,Dario Hunt,Nevada,So.,6-8,F,34,,,,,,,,,,,,,237,7.0,,,66,1.9,,,,,,,,,,
2009-2010,Darion Anderson,NIU,Jr.,6-2,G,30,,,,,,,,,,,,,,,104,3.5,,,,,,,,,,,,
2009-2010,Darius Conley,Saint Peter's,Fr.,6-7,F,30,,,,,,,,,,,,,,,,,34,1.1,,,,,,,,,,
2009-2010,Darius James,Old Dominion,Jr.,6-1,G,36,,,,,,,,,,,,,,,120,,,,,,59,2.03,,,,,,
2009-2010,Darius Johnson-Odom,Marquette,So.,6-2,G,34,,73,,,,,,2.1,,,,,,,,,,,,,,,,,,,,
2009-2010,Darnell Hugee,Prairie View,Sr.,6-7,F,27,146,4,109,405,15.0,267,54.7,,,,,,,,,,50,1.9,,,,,,,,,,
2009-2010,Darnell Porter,South Carolina St.,Jr.,6-4,G,32,,,139,,,,,,,,175,79.4,,,,,,,,,,,,,,,,
2009-2010,Darrin Govens,Saint Joseph's,Sr.,6-1,G,31,,71,,,,,,2.3,,,,,,,,,,,47,1.5,,,,,,,,
2009-2010,Darrius Garrett,Richmond,So.,6-9,F,35,,,,,,,,,,,,,,,,,60,1.7,,,,,,,,,,
2009-2010,Darrius Morrow,East Carolina,So.,6-8,F,28,,,,,,,,,,,,,181,6.5,,,,,,,,,,,,,,
2009-2010,Darryl Bryant,West Virginia,So.,6-2,G,35,,,,,,,,,,,,,,,108,,,,,,71,1.52,,,,,,
2009-2010,Darryl Crawford,Manhattan,Sr.,6-5,G,31,157,21,123,458,14.8,380,41.3,,,,,,,,,,,,,,,,,,,,,
2009-2010,Darryl Evans,Furman,Sr.,6-1,G,30,,,,,,,,,,,,,,,95,,,,,,57,1.67,,,,,,
2009-2010,Darryl Shazier,Bucknell,Jr.,6-0,G,31,,,,,,,,,,,,,,,118,3.8,,,,,50,2.36,,,,,,
2009-2010,Dash Harris,Texas A&M,So.,6-1,G,32,,,,,,,,,,,,,,,109,3.4,,,,,57,1.91,,,,,,
2009-2010,David Burrell,Texas Southern,Sr.,6-3,G,33,,,,,,,,,,,,,,,,,,,64,1.9,,,,,,,,
2009-2010,David Foster,Utah,So.,7-3,C,29,,,,,,,,,,,,,,,,,115,4.0,,,,,,,,,,
2009-2010,David Gonzalvez,Richmond,Sr.,6-4,G,35,171,76,93,511,14.6,,,2.2,,,,,,,,,,,65,1.9,,,,,,,,
2009-2010,David Kool,Western Mich.,Sr.,6-3,G,33,221,63,209,714,21.6,492,44.9,1.9,,,233,89.7,,,,,,,58,1.8,,,,,,,,
2009-2010,David Lighty,Ohio St.,Jr.,6-5,G,37,,,,,,,,,,,,,,,,,,,58,1.6,,,,,,,,
2009-2010,David Nurse,Western Ill.,Sr.,6-3,G,30,,62,,,,,,2.1,,,,,,,,,,,,,,,,,,,,
2009-2010,David Perez,Centenary (LA),So.,6-3,G,29,138,65,97,438,15.1,,,2.2,,,115,84.3,,,,,,,,,,,,,,,,
2009-2010,David Schneider,William & Mary,Sr.,6-3,G,33,148,99,117,512,15.5,,,3.0,289,34.3,146,80.1,,,,,,,48,1.5,,,,,,,,
2009-2010,Davis Baker,Southern Utah,Sr.,6-4,G,29,175,29,111,490,16.9,380,46.1,,,,130,85.4,,,,,,,,,,,,,,,,
2009-2010,De'Suan Dixon,Jackson St.,Jr.,6-4,G,32,,,,,,,,,,,,,214,6.7,,,,,49,1.5,,,,,,,,
2009-2010,DeAndre Brown,Louisiana Tech,Jr.,5-11,G,35,,,,,,,,,,,,,,,119,3.4,,,,,,,,,,,,
2009-2010,DeAndre Hall,Texas Southern,Sr.,6-6,G,33,220,14,87,541,16.4,438,50.2,,,,,,,,,,,,63,1.9,,,,,,,,
2009-2010,DeAndre Mays,Youngstown St.,Sr.,6-2,G,30,,,,,,,,,,,,,,,102,3.4,,,,,,,,,,,,
2009-2010,DeAngelo Casto,Washington St.,So.,6-8,F,31,,,,,,,,,,,,,216,7.0,,,67,2.2,,,,,,,,,,
2009-2010,DeMarcus Cousins,Kentucky,Fr.,6-11,F,38,206,1,162,575,15.1,369,55.8,,,,,,374,9.8,,,67,1.8,,,,,,20,,,,
2009-2010,DeShawn Patterson,Southeastern La.,So.,6-4,F,31,,,,,,,,,,,,,,,94,,,,52,1.7,57,1.65,,,,,,
2009-2010,DeShawn Sims,Michigan,Sr.,6-8,F,32,220,21,75,536,16.8,447,49.2,,,,,,242,7.6,,,,,,,,,,,,,,
